iso3,iso2,available,fraction
AGO,AO,0.0,0.0
BFA,BF,157.0,0.9691358024691358
BDI,BI,381.0,0.49352331606217614
BEN,BJ,1.0,0.0022271714922048997
BWA,BW,161.0,1.0
COD,CD,1855.0,0.9469116896375702
CAF,CF,0.0,0.0
COG,CG,0.0,0.0
CIV,CI,10.0,0.00782472613458529
CMR,CM,570.0,0.9628378378378378
CPV,CV,0.0,0.0
EGY,EG,0.0,0.0
ERI,ER,346.0,0.8963730569948186
ETH,ET,219.0,0.3421875
GAB,GA,282.0,0.9964664310954063
GHA,GH,14.0,0.14736842105263157
GMB,GM,431.0,0.9976851851851852
GIN,GN,175.0,0.8101851851851852
GNB,GW,56.0,0.3181818181818182
KEN,KE,820.0,0.5437665782493368
LBR,LR,493.0,0.24736578023080782
LSO,LS,50.0,1.0
MDG,MG,337.0,0.7124735729386892
MLI,ML,256.0,0.973384030418251
MRT,MR,140.0,0.9271523178807947
MUS,MU,49.0,1.0
MWI,MW,73.0,0.0712890625
MOZ,MZ,315.0,0.9813084112149533
NER,NE,353.0,0.4950911640953717
NGA,NG,3176.0,0.9385342789598109
RWA,RW,258.0,0.5797752808988764
SYC,SC,6.0,0.8571428571428571
SDN,SD,0.0,0.0
SLE,SL,61.0,0.3567251461988304
SEN,SN,48.0,0.27586206896551724
SOM,SO,0.0,0.0
SSD,SS,330.0,0.7568807339449541
STP,ST,96.0,0.897196261682243
SWZ,SZ,277.0,1.0
TCD,TD,424.0,0.9953051643192489
TGO,TG,1090.0,0.4954545454545455
TZA,TZ,354.0,0.28207171314741036
UGA,UG,1257.0,0.6816702819956616
ZAF,ZA,76.0,0.22287390029325513
ZMB,ZM,106.0,0.09265734265734266
ZWE,ZW,558.0,0.9538461538461539
TZZ,ZZ,107.0,0.7181208053691275
